line,size,line_impedance,line_length
0,48,0.78,0.37
1,160,0.45,0.4
2,136,0.46,0.12
3,87,0.74,0.37
4,181,0.6,0.31
5,168,0.46,0.26
6,146,0.53,0.16
7,178,0.69,0.25
8,102,0.29,0.32
9,62,0.69,0.2
10,117,0.38,0.16
11,53,0.38,0.15
12,125,0.7,0.18
13,82,0.49,0.16
14,133,0.29,0.17
15,28,0.8,0.2
16,186,0.45,0.39
17,105,0.33,0.33
18,61,0.68,0.24
19,79,0.27,0.28
20,51,0.48,0.14
21,134,0.76,0.1
22,144,0.71,0.29
23,157,0.7,0.3
24,42,0.32,0.26
25,74,0.53,0.1
26,169,0.24,0.34
27,174,0.4,0.26
28,173,0.72,0.35
29,177,0.68,0.2
30,70,0.3,0.36
31,87,0.53,0.33
32,72,0.51,0.32
33,43,0.67,0.2
34,186,0.28,0.39
35,129,0.57,0.36
36,105,0.62,0.33
37,95,0.67,0.29
38,31,0.74,0.38
39,138,0.65,0.3
40,67,0.36,0.16
41,147,0.49,0.35
42,185,0.43,0.13
43,76,0.25,0.26
44,168,0.4,0.23
45,134,0.65,0.36
46,23,0.22,0.39
47,74,0.27,0.35
48,143,0.53,0.29
49,148,0.54,0.16
50,144,0.63,0.11
51,194,0.26,0.15
52,91,0.33,0.2
53,47,0.71,0.38
54,190,0.68,0.24
55,45,0.33,0.32
56,192,0.27,0.29
57,147,0.55,0.35
58,155,0.35,0.39
59,142,0.78,0.16
60,144,0.65,0.23
61,103,0.24,0.21
62,144,0.71,0.19
63,33,0.25,0.39
64,170,0.38,0.13
65,113,0.62,0.14
66,63,0.31,0.34
67,50,0.8,0.36
68,149,0.23,0.11
69,117,0.51,0.15
70,25,0.62,0.16
71,64,0.63,0.26
72,101,0.29,0.15
73,161,0.61,0.18
74,91,0.68,0.17
75,95,0.35,0.18
76,114,0.41,0.3
77,104,0.7,0.2
78,181,0.58,0.32
79,180,0.75,0.16
80,68,0.66,0.29
81,53,0.65,0.19
82,124,0.46,0.12
83,177,0.66,0.11
84,157,0.66,0.19
85,71,0.55,0.25
86,122,0.69,0.2
87,136,0.66,0.17
88,144,0.66,0.12
89,132,0.66,0.21
90,116,0.68,0.24
91,52,0.26,0.34
92,184,0.36,0.22
93,21,0.73,0.11
94,135,0.29,0.25
95,42,0.73,0.31
96,159,0.7,0.21
97,106,0.62,0.38
98,183,0.55,0.26
99,138,0.73,0.14
100,140,0.36,0.11
101,94,0.59,0.28
102,98,0.53,0.37
103,26,0.34,0.36
104,70,0.38,0.36
105,182,0.49,0.4
106,137,0.41,0.36
107,196,0.74,0.23
108,178,0.66,0.11
109,179,0.22,0.19
110,57,0.77,0.21
111,126,0.6,0.13
112,57,0.62,0.26
113,35,0.51,0.25
114,90,0.44,0.19
115,21,0.78,0.12
116,188,0.51,0.34
117,160,0.63,0.31
118,172,0.44,0.23
119,183,0.58,0.28
120,132,0.54,0.38
121,43,0.74,0.35
122,50,0.56,0.28
123,134,0.69,0.21
124,37,0.35,0.38
125,133,0.24,0.2
126,108,0.46,0.3
127,190,0.75,0.35
128,190,0.41,0.19
129,110,0.57,0.31
130,97,0.63,0.23
131,20,0.5,0.28
132,58,0.26,0.16
133,46,0.41,0.24
134,126,0.79,0.24
135,98,0.23,0.34
136,149,0.47,0.3
137,79,0.41,0.13
138,142,0.7,0.31
139,53,0.45,0.31
140,99,0.51,0.3
141,123,0.36,0.3
142,63,0.34,0.17
143,167,0.28,0.33
144,138,0.75,0.19
145,87,0.69,0.28
146,164,0.7,0.34
147,139,0.28,0.32
148,144,0.32,0.3
149,69,0.46,0.33
150,106,0.25,0.3
151,163,0.61,0.14
152,23,0.47,0.21
153,82,0.35,0.38
154,103,0.71,0.24
155,115,0.68,0.21
156,83,0.47,0.34
157,89,0.47,0.21
158,22,0.36,0.18
159,95,0.35,0.29
160,106,0.23,0.33
161,103,0.4,0.35
162,141,0.44,0.3
163,109,0.58,0.38
164,77,0.27,0.1
165,45,0.67,0.1
166,129,0.43,0.32
167,109,0.59,0.2
168,173,0.25,0.24
169,193,0.5,0.14
170,170,0.78,0.35
171,147,0.23,0.34
172,56,0.71,0.12
173,175,0.44,0.17
174,34,0.58,0.33
175,23,0.42,0.2
176,117,0.23,0.35
177,118,0.22,0.28
178,118,0.36,0.36
179,145,0.5,0.12
180,27,0.53,0.26
181,133,0.64,0.1
182,25,0.78,0.18
183,32,0.31,0.4
184,118,0.79,0.37
185,127,0.27,0.21
186,56,0.29,0.32
187,145,0.71,0.15
188,96,0.55,0.37
189,121,0.68,0.17
190,198,0.6,0.17
191,175,0.77,0.11
192,72,0.29,0.28
193,182,0.48,0.18
194,30,0.51,0.32
195,71,0.53,0.35
196,101,0.69,0.3
197,162,0.53,0.27
198,20,0.76,0.31
199,131,0.73,0.19
200,103,0.66,0.22
201,119,0.64,0.21
202,24,0.43,0.18
203,105,0.79,0.2
204,153,0.4,0.11
205,31,0.65,0.13
206,41,0.42,0.31
207,104,0.49,0.27
208,168,0.41,0.21
209,41,0.47,0.32
210,35,0.34,0.24
211,135,0.35,0.17
212,101,0.25,0.36
213,48,0.6,0.36
214,70,0.34,0.14
215,156,0.58,0.3
216,67,0.73,0.28
217,71,0.67,0.25
218,152,0.73,0.17
