,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199
0,0.0,0.0,0.0,4587.22,0.0,0.0,4620.94,0.0,4949.5,0.0,0.0,4290.2,0.0,4648.18,0.0,0.0,5582.14,0.0,4250.23,0.0,0.0,5562.47,0.0,5519.76,0.0,0.0,4530.53,0.0,2455.84,0.0,0.0,4433.3,0.0,-1884.27,0.0,0.0,5494.99,0.0,4443.19,0.0,0.0,-458.8,0.0,-1150.83,0.0,0.0,4672.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7072.52,0.0,0.0,0.0,0.0,0.0,0.0,6144.45,0.0,0.0,0.0,0.0,0.0,4324.43,0.0,0.0,0.0,0.0,0.0,-578.43,0.0,0.0,0.0,0.0,0.0,0.0,7178.67,0.0,0.0,0.0,0.0,0.0,-1232.9,0.0,0.0,0.0,0.0,0.0,0.0,-1051.04,0.0,0.0,0.0,0.0,0.0,-2694.47,0.0,0.0,0.0,0.0,0.0,7009.02,0.0,0.0,0.0,0.0,0.0,0.0,4952.44,0.0,0.0,0.0,0.0,0.0,5800.07,0.0,0.0,0.0,0.0,0.0,5383.06,0.0,0.0,0.0,0.0,0.0,0.0,5928.91,0.0,0.0,0.0,0.0,0.0,6126.15,0.0,0.0,0.0,0.0,0.0,5219.37,0.0,0.0,0.0,0.0,0.0,0.0,6522.21,0.0,0.0,0.0,0.0,0.0,6702.33,0.0,0.0,0.0,0.0,0.0,6382.78,0.0,0.0,0.0,0.0,0.0,0.0,6110.26,0.0,0.0,0.0,0.0,0.0,-2260.06,0.0,0.0,0.0,0.0,0.0,0.0,5972.77,0.0,0.0,0.0,0.0,0.0,7154.19,0.0,0.0,0.0,0.0,0.0,-1640.39,0.0,0.0,0.0,0.0,0.0,0.0,6480.39,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,-1376.92,1685.49,3698.16,0.0,1437.12,0.0,2927.77,2416.07,2673.63,0.0,4240.48,0.0,-1110.04,1739.44,-825.45,0.0,2182.55,0.0,-1650.1,-551.56,-2295.71,0.0,-2002.98,0.0,-1165.73,1869.43,2489.0,0.0,3818.87,0.0,-623.2,2642.34,4084.07,0.0,2238.7,0.0,2528.46,-1873.2,3231.22,0.0,-1265.04,0.0,3131.84,1941.01,2311.27,0.0,1932.52,0.0,2823.46,-1168.08,-2064.34,0.0,1451.11,0.0,-999.61,1382.19,-1118.58,0.0,-496.24,0.0,-1192.93,1171.92,2612.0,0.0,2971.39,0.0,1073.82,-3299.51,-453.02,0.0,1543.12,0.0,-1157.02,-2295.65,-1249.86,0.0,-610.64,0.0,-1919.01,-345.83,4772.52,0.0,3271.46,0.0,-261.69,-121.34,-1455.39,0.0,-1565.48,0.0,3443.26,1182.46,1683.87,0.0,-1683.0,0.0,-206.37,2132.97,-2862.59,0.0,2326.71,0.0,3044.64,3706.76,-982.64,0.0,2454.02,0.0,2535.45,2840.36,967.23,0.0,-1380.29,0.0,-1961.8,-1676.71,-2307.36,0.0,-334.34,0.0,4124.79,-568.69,3127.12,0.0,2842.36,0.0,2072.18,-2341.06,-1746.92,0.0,2972.11,0.0,-1644.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-771.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-491.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5543.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-311.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3863.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5111.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5254.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1788.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3585.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-580.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3582.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3254.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3453.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-845.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4779.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-538.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3332.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2183.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3001.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3213.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,0.0,0.0,-686.8,0.0,0.0,0.0,0.0,5363.39,0.0,0.0,0.0,6337.73,0.0,0.0,0.0,0.0,7306.71,0.0,0.0,0.0,5296.48,0.0,0.0,0.0,6596.9,0.0,0.0,0.0,0.0,5227.6,0.0,0.0,0.0,5994.21,0.0,0.0,0.0,0.0,5435.64,0.0,0.0,0.0,5492.47,0.0,0.0,0.0,4857.63,0.0,0.0,0.0,0.0,5703.57,0.0,0.0,0.0,-2884.62,0.0,0.0,0.0,0.0,6446.44,0.0,0.0,0.0,6471.19,0.0,0.0,0.0,8607.95,0.0,0.0,0.0,0.0,-1050.88,0.0,0.0,0.0,6281.54,0.0,0.0,0.0,0.0,5762.72,0.0,0.0,0.0,5958.43,0.0,0.0,0.0,4789.97,0.0,0.0,0.0,0.0,5304.18,0.0,0.0,0.0,4952.88,0.0,0.0,0.0,6711.71,0.0,0.0,0.0,0.0,5809.43,0.0,0.0,0.0,-314.32,0.0,0.0,0.0,0.0,6561.43,0.0,0.0,0.0,-895.28,0.0,0.0,0.0,6310.75,0.0,0.0,0.0,0.0,6874.52,0.0,0.0,0.0,-198.17,0.0,0.0,0.0,0.0,5532.46,0.0,0.0,0.0,-376.52,0.0,0.0,0.0,6750.12,0.0,0.0,0.0,0.0,5127.09,0.0,0.0,0.0,5994.06,0.0,0.0,0.0,0.0,4743.56,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,6896.41,0.0,0.0,0.0,-355.94,0.0,0.0,0.0,0.0,7676.13,0.0,0.0,0.0,-2003.6,0.0,0.0,0.0,0.0,-801.06,0.0,0.0,0.0,-3247.86,0.0,0.0,0.0,0.0,7949.88,0.0,0.0,0.0,7868.57,0.0,0.0,0.0,0.0,6988.61,0.0,0.0,0.0,7934.41,0.0,0.0,0.0,0.0,8011.88,0.0,0.0,0.0,7852.39,0.0,0.0,0.0,0.0,8125.94,0.0,0.0,0.0,-263.49,0.0,0.0,0.0,0.0,7696.54,0.0,0.0,0.0,8154.74,0.0,0.0,0.0,0.0,-1518.15,0.0,0.0,0.0,0.0,9487.0,0.0,0.0,0.0,-1625.78,0.0,0.0,0.0,0.0,8523.31,0.0,0.0,0.0,7572.8,0.0,0.0,0.0,0.0,-674.71,0.0,0.0,0.0,7330.38,0.0,0.0,0.0,0.0,6366.87,0.0,0.0,0.0,7632.61,0.0,0.0,0.0,0.0,8061.99,0.0,0.0,0.0,7961.74,0.0,0.0,0.0,0.0,7366.37,0.0,0.0,0.0,8763.77,0.0,0.0,0.0,0.0,7716.02,0.0,0.0,0.0,-922.6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,6502.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1514.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2049.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5115.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5718.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2612.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6852.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4649.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5177.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2468.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6128.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4303.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-267.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1948.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5609.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1029.23,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,3695.04,0.0,0.0,-932.82,0.0,0.0,-447.11,0.0,0.0,-1520.46,0.0,-886.93,0.0,0.0,-881.77,0.0,0.0,-963.37,0.0,0.0,-643.98,0.0,0.0,-240.96,0.0,0.0,-1311.05,0.0,0.0,-126.29,0.0,0.0,3620.04,0.0,0.0,1710.71,0.0,-516.52,0.0,0.0,-1046.3,0.0,0.0,3810.86,0.0,0.0,-360.97,0.0,0.0,-565.64,0.0,0.0,1807.55,0.0,0.0,-1920.89,0.0,0.0,-165.04,0.0,2930.99,0.0,0.0,-363.16,0.0,0.0,-1749.99,0.0,0.0,-835.22,0.0,0.0,-1685.33,0.0,0.0,3278.7,0.0,0.0,-519.8,0.0,0.0,-399.29,0.0,0.0,-527.23,0.0,-355.52,0.0,0.0,-817.87,0.0,0.0,2735.34,0.0,0.0,-2136.92,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,-1560.44,-4628.86,0.0,-1632.71,-3064.92,-569.92,-2081.37,8354.65,9564.09,0.0,10780.24,-1464.73,-1294.89,10410.3,-679.88,9202.27,0.0,9269.83,8919.75,9297.51,-2544.31,-2822.46,-547.85,0.0,8637.48,-1085.34,8518.9,11534.76,-2135.37,9897.83,0.0,10244.49,9919.82,10096.82,-2343.71,-1075.27,0.0,9981.48,-2005.67,10997.5,12191.64,10470.07,-607.48,0.0,9431.57,9707.88,9798.97,9575.39,-3109.63,7916.36,0.0,7750.02,10442.06,10562.18,-1211.45,10037.86,-2021.0,0.0,-2477.97,-922.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
