,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199
0,0.0,0.0,0.0,-7189.52,0.0,0.0,-5416.15,0.0,-2905.33,0.0,0.0,-4244.06,0.0,-4403.86,0.0,0.0,-4228.63,0.0,-4997.91,0.0,0.0,-5593.72,0.0,-3826.06,0.0,0.0,-3105.28,0.0,-6796.95,0.0,0.0,-5112.3,0.0,-6045.78,0.0,0.0,-6054.88,0.0,-5333.36,0.0,0.0,-5469.03,0.0,-3342.79,0.0,0.0,-4749.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4065.25,0.0,0.0,0.0,0.0,0.0,0.0,-6213.52,0.0,0.0,0.0,0.0,0.0,-4514.63,0.0,0.0,0.0,0.0,0.0,-6853.78,0.0,0.0,0.0,0.0,0.0,0.0,-6275.43,0.0,0.0,0.0,0.0,0.0,-6875.88,0.0,0.0,0.0,0.0,0.0,0.0,-7958.09,0.0,0.0,0.0,0.0,0.0,-5450.15,0.0,0.0,0.0,0.0,0.0,-5433.19,0.0,0.0,0.0,0.0,0.0,0.0,-6851.42,0.0,0.0,0.0,0.0,0.0,-5428.96,0.0,0.0,0.0,0.0,0.0,-5748.36,0.0,0.0,0.0,0.0,0.0,0.0,-4173.26,0.0,0.0,0.0,0.0,0.0,-7306.43,0.0,0.0,0.0,0.0,0.0,-4423.08,0.0,0.0,0.0,0.0,0.0,0.0,-6027.52,0.0,0.0,0.0,0.0,0.0,-2832.55,0.0,0.0,0.0,0.0,0.0,-4931.34,0.0,0.0,0.0,0.0,0.0,0.0,-6741.71,0.0,0.0,0.0,0.0,0.0,-5965.16,0.0,0.0,0.0,0.0,0.0,0.0,-2994.8,0.0,0.0,0.0,0.0,0.0,-6182.69,0.0,0.0,0.0,0.0,0.0,-6889.68,0.0,0.0,0.0,0.0,0.0,0.0,-6913.39,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,-6755.55,-6191.98,-4409.34,0.0,-3544.25,0.0,-5426.84,-5598.75,-4387.79,0.0,-4151.72,0.0,-5801.75,-5575.06,-6553.26,0.0,-6234.48,0.0,-3400.76,-5871.5,-4299.14,0.0,-5976.8,0.0,-4019.45,-4561.16,-7721.31,0.0,-5377.26,0.0,-4314.75,-5240.1,-5986.84,0.0,-3774.49,0.0,-5863.7,-6958.0,-6289.19,0.0,-6932.75,0.0,-4871.68,-5535.25,-3615.0,0.0,-4439.62,0.0,-4392.44,-4604.94,-3958.86,0.0,-5808.51,0.0,-5202.29,-5142.61,-4849.76,0.0,-4295.21,0.0,-6840.27,-5052.79,-4861.82,0.0,-4216.21,0.0,-5223.5,-4091.03,-3700.87,0.0,-3619.52,0.0,-6243.45,-5296.01,-4897.19,0.0,-5173.98,0.0,-6043.57,-6190.39,-4989.57,0.0,-6490.67,0.0,-4255.73,-6569.49,-5141.38,0.0,-3910.48,0.0,-5210.52,-6641.87,-6332.97,0.0,-7216.8,0.0,-6958.74,-5056.92,-4763.01,0.0,-4805.85,0.0,-2947.28,-3819.61,-5302.6,0.0,-5834.86,0.0,-6599.32,-5616.35,-4857.89,0.0,-4298.45,0.0,-4239.11,-6986.7,-5949.03,0.0,-6121.84,0.0,-5909.29,-4561.78,-5501.63,0.0,-4427.01,0.0,-5867.03,-4505.58,-4779.44,0.0,-6192.98,0.0,-4020.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8603.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8644.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8433.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9014.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8786.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9694.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10739.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8889.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7266.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7539.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7251.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8671.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7984.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8152.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9364.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7783.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8649.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8567.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8595.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7236.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8570.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9860.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7532.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7651.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,0.0,0.0,-7969.5,0.0,0.0,0.0,0.0,-5027.27,0.0,0.0,0.0,-6285.54,0.0,0.0,0.0,0.0,-5714.11,0.0,0.0,0.0,-5902.01,0.0,0.0,0.0,-6906.36,0.0,0.0,0.0,0.0,-5457.1,0.0,0.0,0.0,-8141.34,0.0,0.0,0.0,0.0,-5072.79,0.0,0.0,0.0,-6434.87,0.0,0.0,0.0,-4329.54,0.0,0.0,0.0,0.0,-7269.07,0.0,0.0,0.0,-6100.14,0.0,0.0,0.0,0.0,-6518.9,0.0,0.0,0.0,-5669.29,0.0,0.0,0.0,-5367.28,0.0,0.0,0.0,0.0,-4681.11,0.0,0.0,0.0,-6493.59,0.0,0.0,0.0,0.0,-4741.52,0.0,0.0,0.0,-7362.23,0.0,0.0,0.0,-5673.07,0.0,0.0,0.0,0.0,-7298.93,0.0,0.0,0.0,-3025.95,0.0,0.0,0.0,-5766.05,0.0,0.0,0.0,0.0,-7542.47,0.0,0.0,0.0,-4769.86,0.0,0.0,0.0,0.0,-5412.06,0.0,0.0,0.0,-3791.64,0.0,0.0,0.0,-6032.43,0.0,0.0,0.0,0.0,-4819.62,0.0,0.0,0.0,-7188.59,0.0,0.0,0.0,0.0,-7110.42,0.0,0.0,0.0,-4360.42,0.0,0.0,0.0,-3898.65,0.0,0.0,0.0,0.0,-6152.55,0.0,0.0,0.0,-4581.75,0.0,0.0,0.0,0.0,-6171.61,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,-8933.67,0.0,0.0,0.0,-11405.6,0.0,0.0,0.0,0.0,-8383.36,0.0,0.0,0.0,-10932.17,0.0,0.0,0.0,0.0,-10118.47,0.0,0.0,0.0,-10631.67,0.0,0.0,0.0,0.0,-9491.65,0.0,0.0,0.0,-8938.2,0.0,0.0,0.0,0.0,-10495.7,0.0,0.0,0.0,-9092.28,0.0,0.0,0.0,0.0,-9627.69,0.0,0.0,0.0,-9441.86,0.0,0.0,0.0,0.0,-9584.33,0.0,0.0,0.0,-9135.19,0.0,0.0,0.0,0.0,-11198.33,0.0,0.0,0.0,-9954.84,0.0,0.0,0.0,0.0,-8921.25,0.0,0.0,0.0,0.0,-7535.54,0.0,0.0,0.0,-10438.4,0.0,0.0,0.0,0.0,-9391.73,0.0,0.0,0.0,-10453.83,0.0,0.0,0.0,0.0,-9863.98,0.0,0.0,0.0,-10932.06,0.0,0.0,0.0,0.0,-10841.08,0.0,0.0,0.0,-9888.73,0.0,0.0,0.0,0.0,-9297.64,0.0,0.0,0.0,-9156.48,0.0,0.0,0.0,0.0,-9184.66,0.0,0.0,0.0,-8441.76,0.0,0.0,0.0,0.0,-11099.08,0.0,0.0,0.0,-12420.74,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,-7328.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9075.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7241.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10775.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9793.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8870.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9081.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7377.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8256.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8178.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7980.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9285.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9547.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8168.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8012.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8961.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8140.99,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,-7617.72,0.0,0.0,-8619.6,0.0,0.0,-5677.55,0.0,0.0,-7787.17,0.0,-7779.88,0.0,0.0,-9008.26,0.0,0.0,-8114.75,0.0,0.0,-9292.39,0.0,0.0,-8330.79,0.0,0.0,-9432.46,0.0,0.0,-7331.47,0.0,0.0,-7226.23,0.0,0.0,-8089.61,0.0,-8799.38,0.0,0.0,-8285.49,0.0,0.0,-8026.03,0.0,0.0,-8862.98,0.0,0.0,-8130.91,0.0,0.0,-8101.5,0.0,0.0,-9213.22,0.0,0.0,-7358.83,0.0,-8143.54,0.0,0.0,-9553.52,0.0,0.0,-8021.06,0.0,0.0,-8778.08,0.0,0.0,-8842.14,0.0,0.0,-7079.67,0.0,0.0,-10239.99,0.0,0.0,-10062.33,0.0,0.0,-8362.29,0.0,-7837.98,0.0,0.0,-7509.9,0.0,0.0,-7741.79,0.0,0.0,-7928.79,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,-4665.25,-2481.26,0.0,-3477.59,-4190.49,-4113.05,-3363.6,-1658.1,-3708.23,0.0,-5146.8,-4049.43,-4740.25,-2942.01,-2848.77,-3838.37,0.0,-3937.22,-4515.9,-2308.16,-1842.77,-3822.28,-6007.21,0.0,-3088.9,-2751.76,-4574.85,-4552.47,-4010.42,-4335.22,0.0,-3472.9,-3802.82,-3547.73,-2489.05,-3016.32,0.0,-2825.2,-4054.82,-5186.87,-3404.27,-2155.64,-3007.3,0.0,-3822.8,-1218.24,-4702.72,-3891.4,-4805.89,-3297.9,0.0,-4421.4,-3706.54,-4272.87,-3017.36,-4137.58,-3543.13,0.0,-2937.82,-4307.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
